id_prod,nom_prod,prix,qteDispo
1001,Super Mario 64 DS,24.95,4
1002,Lumines: Puzzle Fusion,14.95,4
1003,WarioWare Touched!,22.95,3
1004,Hot Shots Golf: Open Tee,12.95,4
1005,Spider-Man 2,14.95,2
1006,The Urbz: Sims in the City,12.95,6
1007,Ridge Racer,19.95,4
1008,Metal Gear Ac!d,17.95,1
1009,Madden NFL 2005,8.95,3
1010,Pokmon Dash,24.95,5
1011,Dynasty Warriors,14.95,2
1012,Feel the Magic XY/XX,8.95,5
1013,Ridge Racer DS,9.95,3
1014,Darkstalkers Chronicle: The Chaos Tower,14.95,7
1015,Ape Escape Academy,14.95,8
1016,Polarium,8.95,2
1017,Asphalt: Urban GT,14.95,4
1018,Zoo Keeper,14.95,3
1019,Mr. DRILLER: Drill Spirits,14.95,6
1020,Sprung,8.95,6
1021,Armored Core: Formula Front - Extreme Battle,16.95,4
1022,Puyo Pop Fever,19.95,4
1023,Mario Kart DS,29.95,3
1024,Nintendogs,26.95,4
1025,Brain Age: Train Your Brain in Minutes a Day!,17.95,2
1026,Brain Agey: More Training in Minutes a Day!,17.95,6
1027,Grand Theft Auto: Liberty City Stories,17.95,4
1028,Animal Crossing: Wild World,24.95,1
1029,Big Brain Academy,16.95,3
1030,Call of Duty 2,17.95,5
1031,Midnight Club 3: DUB Edition,14.95,2
1032,Need for Speed: Most Wanted 5-1-0,14.95,5
1033,Pokmon Mystery Dungeon: Blue Rescue Team,14.95,3
1034,Sonic Rush,14.95,7
1035,Star Wars: Battlefront II,16.95,4
1036,SOCOM: U.S. Navy SEALs - Fireteam Bravo,14.95,2
1037,Need for Speed: Most Wanted,17.95,3
1038,Zoo Tycoon DS,12.95,4
1039,The Sims 2,17.95,6
1040,Mario & Luigi: Partners in Time,29.95,7
1041,Madden NFL 06,7.95,2
1042,Need for Speed Underground: Rivals,17.95,2
1043,Twisted Metal: Head-On,14.95,2
1044,Perfect Dark Zero,17.95,2
1045,Super Monkey Ball: Touch & Roll,15.95,1
1046,Super Princess Peach,29.95,6
1047,Burnout Legends,14.95,6
1048,Madden NFL 06,4.95,4
1049,Clubhouse Games,17.95,6
1050,ATV Offroad Fury: Blazin' Trails,12.95,6
1051,Untold Legends: Brotherhood of the Blade,12.95,1
1052,Tony Hawk's Underground 2: Remix,14.95,3
1053,The Sims 2,14.95,5
1054,WipEout Pure,12.95,5
1055,NBA Live 06,9.95,2
1056,WWE Smackdown vs. Raw 2006,14.95,5
1057,Dead or Alive 4,17.95,3
1058,Phoenix Wright: Ace Attorney,24.95,7
1059,Spider-Man 2,14.95,8
1060,NFL Street 2,17.95,2
1061,Kirby: Canvas Curse,17.95,5
1062,Battlefield 2: Modern Combat,16.95,2
1063,Yoshi Touch & Go,17.95,5
1064,Tiger Woods PGA Tour 06,9.95,3
1065,Condemned: Criminal Origins,14.95,7
1066,Peter Jackson's King Kong: The Official Game of...,14.95,8
1067,Castlevania: Dawn of Sorrow,17.95,4
1068,SpongeBob SquarePants: The Yellow Avenger,13.95,9
1069,Marvel Nemesis: Rise of the Imperfects ,17.95,8
1070,Kameo: Elements of Power,11.95,4
1071,Advance Wars: Dual Strike,17.95,4
1072,Trauma Center: Under the Knife,15.95,3
1073,Coded Arms,12.95,4
1074,NBA LIVE 06 ,4.95,2
1075,Tony Hawk's American Wasteland,14.95,6
1076,Star Wars: Episode III - Revenge of the Sith,16.95,4
1077,Capcom Classics Collection Remixed,17.95,1
1078,Madagascar,14.95,3
1079,X-Men: Legends II - Rise of Apocalypse,17.95,5
1080,Quake 4,14.95,2
1081,Pokmon Trozei!,19.95,5
1082,Need for Speed: Most Wanted,15.95,3
1083,Mega Man Maverick Hunter X,17.95,7
1084,Metroid Prime Pinball,17.95,8
