Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,id
Super Mario 64 DS,True,1,True,True,Action,True,Nintendo,True,85,4.69,24.95,Nintendo DS,1001
Lumines: Puzzle Fusion,True,1,True,True,Strategy,True,Ubisoft,True,89,0.56,14.95,Sony PSP,1002
WarioWare Touched!,True,2,True,True,"Action,Racing / Driving,Sports",True,Nintendo,True,81,0.54,22.95,Nintendo DS,1003
Hot Shots Golf: Open Tee,True,1,True,True,Sports,True,Sony,True,81,0.49,12.95,Sony PSP,1004
Spider-Man 2,True,1,True,True,Action,True,Activision,True,61,0.45,14.95,Nintendo DS,1005
The Urbz: Sims in the City,True,1,True,True,Simulation,True,EA,True,67,0.41,12.95,Nintendo DS,1006
Ridge Racer,True,1,True,True,Racing / Driving,True,Namco,True,88,0.36,19.95,Sony PSP,1007
Metal Gear Ac!d,True,1,True,True,Strategy,True,Konami,True,75,0.34,17.95,Sony PSP,1008
Madden NFL 2005,True,1,True,True,Sports,True,EA,True,68,0.25,8.95,Nintendo DS,1009
Pokmon Dash,True,1,True,True,Racing / Driving,True,Nintendo,True,46,0.22,24.95,Nintendo DS,1010
Dynasty Warriors,True,1,True,True,"Action,Adventure,Role-Playing (RPG)",True,,True,62,0.2,14.95,Sony PSP,1011
Feel the Magic XY/XX,True,1,True,True,"Action,Adventure,Racing / Driving,Sports",True,Sega,True,75,0.16,8.95,Nintendo DS,1012
Ridge Racer DS,True,1,True,True,Racing / Driving,True,Namco,True,63,0.15,9.95,Nintendo DS,1013
Darkstalkers Chronicle: The Chaos Tower,True,1,True,True,Action,True,Capcom,True,74,0.14,14.95,Sony PSP,1014
Ape Escape Academy,True,4,True,True,"Action,Sports",True,Sony,True,51,0.13,14.95,Sony PSP,1015
Polarium,True,1,True,True,Strategy,True,Nintendo,True,73,0.12,8.95,Nintendo DS,1016
Asphalt: Urban GT,True,1,True,True,"Racing / Driving,Simulation",True,Ubisoft,True,60,0.11,14.95,Nintendo DS,1017
Zoo Keeper,True,1,True,True,Action,True,,True,74,0.1,14.95,Nintendo DS,1018
Mr. DRILLER: Drill Spirits,True,1,True,True,Action,True,Namco,True,72,0.09,14.95,Nintendo DS,1019
Sprung,True,1,True,True,Adventure,True,Ubisoft,True,48,0.06,8.95,Nintendo DS,1020
Armored Core: Formula Front - Extreme Battle,True,1,True,True,"Action,Strategy",True,,True,66,0.05,16.95,Sony PSP,1021
Puyo Pop Fever,True,1,True,True,"Action,Strategy",True,Sega,True,76,0.04,19.95,Nintendo DS,1022
Mario Kart DS,True,1,True,True,Racing / Driving,True,Nintendo,True,91,9.99,29.95,Nintendo DS,1023
Nintendogs,True,1,True,True,Simulation,True,Nintendo,True,83,9.72,26.95,Nintendo DS,1024
Brain Age: Train Your Brain in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,5.07,17.95,Nintendo DS,1025
Brain Agey: More Training in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,3.65,17.95,Nintendo DS,1026
Grand Theft Auto: Liberty City Stories,True,1,True,True,"Action,Racing / Driving",True,"Capcom,Rockstar",True,88,2.97,17.95,Sony PSP,1027
Animal Crossing: Wild World,True,1,True,True,Simulation,True,Nintendo,True,86,2.6,24.95,Nintendo DS,1028
Big Brain Academy,True,1,True,True,Action,True,Nintendo,True,74,1.77,16.95,Nintendo DS,1029
Call of Duty 2,True,4,True,True,Action,True,"Activision,Konami",True,89,1.69,17.95,X360,1030
Midnight Club 3: DUB Edition,True,1,True,True,Racing / Driving,True,Rockstar,True,74,1.69,14.95,Sony PSP,1031
Need for Speed: Most Wanted 5-1-0,True,1,True,True,Racing / Driving,True,EA,True,72,1.67,14.95,Sony PSP,1032
Pokmon Mystery Dungeon: Blue Rescue Team,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,62,1.22,14.95,Nintendo DS,1033
Sonic Rush,True,1,True,True,Action,True,Sega,True,82,1.2,14.95,Nintendo DS,1034
Star Wars: Battlefront II,True,1,True,True,Action,True,,True,69,1.09,16.95,Sony PSP,1035
SOCOM: U.S. Navy SEALs - Fireteam Bravo,True,1,True,True,Action,True,Sony,True,82,1.07,14.95,Sony PSP,1036
Need for Speed: Most Wanted,True,2,True,True,Racing / Driving,True,EA,True,83,0.95,17.95,X360,1037
Zoo Tycoon DS,True,1,True,True,"Simulation,Strategy",True,THQ,True,44,0.92,12.95,Nintendo DS,1038
The Sims 2,True,1,True,True,"Role-Playing (RPG),Simulation",True,EA,True,70,0.83,17.95,Nintendo DS,1039
Mario & Luigi: Partners in Time,True,1,True,True,"Action,Role-Playing (RPG)",True,Nintendo,True,86,0.75,29.95,Nintendo DS,1040
Madden NFL 06,True,1,True,True,Sports,True,EA,True,75,0.75,7.95,Sony PSP,1041
Need for Speed Underground: Rivals,True,4,True,True,Racing / Driving,True,EA,True,74,0.73,17.95,Sony PSP,1042
Twisted Metal: Head-On,True,1,True,True,"Action,Racing / Driving",True,Sony,True,79,0.73,14.95,Sony PSP,1043
Perfect Dark Zero,True,4,True,True,Action,True,Microsoft,True,79,0.7,17.95,X360,1044
Super Monkey Ball: Touch & Roll,True,1,True,True,Action,True,Sega,True,63,0.7,15.95,Nintendo DS,1045
Super Princess Peach,True,1,True,True,Action,True,Nintendo,True,75,0.7,29.95,Nintendo DS,1046
Burnout Legends,True,1,True,True,"Action,Racing / Driving",True,EA,True,86,0.68,14.95,Sony PSP,1047
Madden NFL 06,True,2,True,True,Sports,True,EA,True,74,0.62,4.95,X360,1048
Clubhouse Games,True,1,True,True,Strategy,True,Nintendo,True,83,0.61,17.95,Nintendo DS,1049
ATV Offroad Fury: Blazin' Trails,True,4,True,True,"Racing / Driving,Sports",True,Sony,True,63,0.56,12.95,Sony PSP,1050
Untold Legends: Brotherhood of the Blade,True,1,True,True,"Action,Role-Playing (RPG)",True,"Activision,Sony",True,68,0.56,12.95,Sony PSP,1051
Tony Hawk's Underground 2: Remix,True,1,True,True,Sports,True,Activision,True,83,0.49,14.95,Sony PSP,1052
The Sims 2,True,1,True,True,"Simulation,Strategy",True,EA,True,65,0.46,14.95,Sony PSP,1053
WipEout Pure,True,1,True,True,"Action,Racing / Driving",True,Sony,True,88,0.45,12.95,Sony PSP,1054
NBA Live 06,True,1,True,True,Sports,True,EA,True,80,0.42,9.95,Sony PSP,1055
WWE Smackdown vs. Raw 2006,True,4,True,True,"Action,Sports",True,THQ,True,81,0.38,14.95,Sony PSP,1056
Dead or Alive 4,True,4,True,True,Action,True,,True,85,0.38,17.95,X360,1057
Phoenix Wright: Ace Attorney,True,1,True,True,"Adventure,Simulation",True,Capcom,True,81,0.38,24.95,Nintendo DS,1058
Spider-Man 2,True,1,True,True,Action,True,Activision,True,67,0.38,14.95,Sony PSP,1059
NFL Street 2,True,4,True,True,Sports,True,EA,True,73,0.37,17.95,Sony PSP,1060
Kirby: Canvas Curse,True,1,True,True,Action,True,Nintendo,True,86,0.37,17.95,Nintendo DS,1061
Battlefield 2: Modern Combat,True,4,True,True,Action,True,EA,True,77,0.36,16.95,X360,1062
Yoshi Touch & Go,True,1,True,True,Action,True,Nintendo,True,73,0.36,17.95,Nintendo DS,1063
Tiger Woods PGA Tour 06,True,4,True,True,Sports,True,EA,True,71,0.33,9.95,X360,1064
Condemned: Criminal Origins,True,1,True,True,"Action,Adventure",True,Sega,True,81,0.33,14.95,X360,1065
Peter Jackson's King Kong: The Official Game of...,True,2,True,True,Action,True,Ubisoft,True,80,0.32,14.95,X360,1066
Castlevania: Dawn of Sorrow,True,1,True,True,"Action,Role-Playing (RPG)",True,Konami,True,89,0.31,17.95,Nintendo DS,1067
SpongeBob SquarePants: The Yellow Avenger,True,1,True,True,Action,True,THQ,True,67,0.31,13.95,Nintendo DS,1068
Marvel Nemesis: Rise of the Imperfects ,True,1,True,True,Action,True,EA,True,58,0.31,17.95,Sony PSP,1069
Kameo: Elements of Power,True,1,True,True,Action,True,Microsoft,True,79,0.31,11.95,X360,1070
Advance Wars: Dual Strike,True,1,True,True,Strategy,True,Nintendo,True,90,0.3,17.95,Nintendo DS,1071
Trauma Center: Under the Knife,True,1,True,True,"Action,Simulation",True,Nintendo,True,81,0.3,15.95,Nintendo DS,1072
Coded Arms,True,1,True,True,Action,True,Konami,True,59,0.3,12.95,Sony PSP,1073
NBA LIVE 06 ,True,1,True,True,Sports,True,EA,True,64,0.29,4.95,X360,1074
Tony Hawk's American Wasteland,True,1,True,True,Sports,True,Activision,True,75,0.29,14.95,X360,1075
Star Wars: Episode III - Revenge of the Sith,True,1,True,True,Action,True,Ubisoft,True,73,0.28,16.95,Nintendo DS,1076
Capcom Classics Collection Remixed,True,1,True,True,Action,True,Capcom,True,72,0.28,17.95,Sony PSP,1077
Madagascar,True,1,True,True,Adventure,True,Activision,True,66,0.27,14.95,Nintendo DS,1078
X-Men: Legends II - Rise of Apocalypse,True,1,True,True,"Action,Role-Playing (RPG)",True,Activision,True,84,0.27,17.95,Sony PSP,1079
Quake 4,True,1,True,True,Action,True,Activision,True,75,0.27,14.95,X360,1080
Pokmon Trozei!,True,1,True,True,Strategy,True,Nintendo,True,74,0.26,19.95,Nintendo DS,1081
Need for Speed: Most Wanted,True,1,True,True,Racing / Driving,True,EA,True,45,0.25,15.95,Nintendo DS,1082
Mega Man Maverick Hunter X,True,1,True,True,Action,True,Capcom,True,79,0.25,17.95,Sony PSP,1083
Metroid Prime Pinball,True,1,True,True,"Action,Simulation",True,Nintendo,True,79,0.22,17.95,Nintendo DS,1084
NBA 06,True,1,True,True,Sports,True,Sony,True,72,0.22,9.95,Sony PSP,1085
GUN ,True,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",True,Activision,True,75,0.22,19.95,X360,1086
NBA 2K6 ,True,1,True,True,Sports,True,2K,True,81,0.22,4.95,X360,1087
Pinball Hall of Fame: The Gottlieb Collection,True,4,True,True,Action,True,,True,73,0.21,9.95,Sony PSP,1088
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,68,0.21,17.95,Nintendo DS,1089
Tony Hawk's American Sk8land,True,1,True,True,Sports,True,Activision,True,84,0.21,16.95,Nintendo DS,1090
MVP Baseball,True,1,True,True,Sports,True,EA,True,67,0.21,4.95,Sony PSP,1091
Tiger Woods PGA Tour,True,1,True,True,Sports,True,EA,True,78,0.21,17.95,Sony PSP,1092
World Series of Poker,True,1,True,True,"Sports,Strategy",True,Activision,True,37,0.21,14.95,Sony PSP,1093
SSX on Tour,True,1,True,True,Sports,True,EA,True,79,0.2,16.95,Sony PSP,1094
Tiger Woods PGA Tour 06,True,1,True,True,Sports,True,EA,True,80,0.2,9.95,Sony PSP,1095
Death Jr.,True,1,True,True,Action,True,Konami,True,61,0.19,9.95,Sony PSP,1096
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,70,0.19,17.95,Sony PSP,1097
MediEvil Resurrection,True,1,True,True,Action,True,Sony,True,66,0.19,17.95,Sony PSP,1098
"The Chronicles of Narnia: The Lion, the Witch a...",True,1,True,True,"Action,Role-Playing (RPG)",True,,True,65,0.18,12.95,Nintendo DS,1099
Shrek SuperSlam,True,1,True,True,Action,True,Activision,True,56,0.18,11.95,Nintendo DS,1100
Virtua Tennis: World Tour,True,1,True,True,Sports,True,Sega,True,84,0.18,14.95,Sony PSP,1101
Prince of Persia: Revelations,True,1,True,True,Action,True,Ubisoft,True,65,0.17,6.95,Sony PSP,1102
Burnout Legends,True,1,True,True,"Action,Racing / Driving",True,EA,True,38,0.16,17.95,Nintendo DS,1103
Meteos,True,1,True,True,Strategy,True,Nintendo,True,88,0.16,15.95,Nintendo DS,1104
Spyro: Shadow Legacy,True,1,True,True,Role-Playing (RPG),True,,True,50,0.15,17.95,Nintendo DS,1105
The Con,True,1,True,True,Action,True,Sony,True,63,0.15,8.95,Sony PSP,1106
Infected,True,1,True,True,Action,True,,True,74,0.15,17.95,Sony PSP,1107
Pursuit Force,True,1,True,True,"Action,Racing / Driving",True,Sony,True,75,0.14,14.95,Sony PSP,1108
Kingdom of Paradise,True,2,True,True,"Action,Role-Playing (RPG)",True,Sony,True,72,0.13,12.95,Sony PSP,1109
Dragon Ball Z: Supersonic Warriors 2,True,1,True,True,Action,True,Atari,True,66,0.13,22.95,Nintendo DS,1110
Dragon Quest Heroes: Rocket Slime,True,1,True,True,Action,True,SquareEnix,True,83,0.13,12.95,Nintendo DS,1111
Dead to Rights: Reckoning,True,1,True,True,Action,True,Namco,True,54,0.13,14.95,Sony PSP,1112
Amped 3,True,1,True,True,Sports,True,2K,True,72,0.13,14.95,X360,1113
Break 'em All,True,1,True,True,Action,True,,True,68,0.12,17.95,Nintendo DS,1114
Lunar: Dragon Song,True,1,True,True,Role-Playing (RPG),True,Ubisoft,True,59,0.12,14.95,Nintendo DS,1115
Madden NFL 06,True,1,True,True,Sports,True,EA,True,66,0.12,9.95,Nintendo DS,1116
Retro Atari Classics,True,1,True,True,"Action,Racing / Driving,Simulation",True,Atari,True,51,0.12,12.95,Nintendo DS,1117
True Swing Golf,True,1,True,True,Sports,True,Nintendo,True,66,0.12,14.95,Nintendo DS,1118
FIFA Soccer,True,1,True,True,Sports,True,EA,True,73,0.12,14.95,Sony PSP,1119
Metal Gear Ac!d 2,True,1,True,True,Strategy,True,Konami,True,80,0.12,12.95,Sony PSP,1120
ATV Quad Frenzy,True,1,True,True,"Racing / Driving,Sports",True,,True,35,0.11,14.95,Nintendo DS,1121
Bomberman,True,1,True,True,Strategy,True,Ubisoft,True,75,0.11,17.95,Nintendo DS,1122
GoldenEye: Rogue Agent,True,1,True,True,Action,True,EA,True,58,0.11,14.95,Nintendo DS,1123
Need for Speed Underground 2,True,1,True,True,Racing / Driving,True,EA,True,65,0.11,22.95,Nintendo DS,1124
Frogger: Helmet Chaos,True,1,True,True,Action,True,Konami,True,66,0.11,19.95,Sony PSP,1125
The Lord of the Rings: Tactics,True,1,True,True,"Role-Playing (RPG),Strategy",True,EA,True,64,0.11,19.95,Sony PSP,1126
Rengoku: The Tower of Purgatory,True,1,True,True,"Action,Role-Playing (RPG)",True,Konami,True,43,0.11,12.95,Sony PSP,1127
Gretzky NHL,True,2,True,True,Sports,True,Sony,True,61,0.1,9.95,Sony PSP,1128
Ridge Racer 6,True,2,True,True,Racing / Driving,True,"EA,Namco",True,74,0.1,14.95,X360,1129
Ford Racing 3,True,1,True,True,"Action,Racing / Driving",True,,True,49,0.1,14.95,Nintendo DS,1130
NHL 2K6 ,True,1,True,True,Sports,True,2K,True,75,0.1,5.95,X360,1131
Bust-a-Move DS,True,1,True,True,"Action,Strategy",True,,True,75,0.09,17.95,Nintendo DS,1132
Battles of Prince of Persia,True,1,True,True,Strategy,True,Ubisoft,True,64,0.09,14.95,Nintendo DS,1133
GripShift,True,1,True,True,Racing / Driving,True,Ubisoft,True,70,0.09,9.95,Sony PSP,1134
Marvel Nemesis: Rise of the Imperfects ,True,1,True,True,Action,True,EA,True,34,0.08,14.95,Nintendo DS,1135
Scooby-Doo! Unmasked,True,1,True,True,Action,True,THQ,True,60,0.08,17.95,Nintendo DS,1136
Viewtiful Joe: Double Trouble!,True,1,True,True,Action,True,Capcom,True,73,0.08,14.95,Nintendo DS,1137
The Legend of Heroes: A Tear of Vermillion,True,1,True,True,Role-Playing (RPG),True,,True,68,0.08,17.95,Sony PSP,1138
PQ: Practical Intelligence Quotient,True,1,True,True,Strategy,True,,True,69,0.08,14.95,Sony PSP,1139
Lost in Blue,True,1,True,True,Role-Playing (RPG),True,Konami,True,69,0.07,24.95,Nintendo DS,1140
Ghost in the Shell: Stand Alone Complex,True,1,True,True,Action,True,Sony,True,61,0.07,14.95,Sony PSP,1141
Dig Dug: Digging Strike,True,1,True,True,Action,True,Namco,True,65,0.06,16.95,Nintendo DS,1142
Frogger: Helmet Chaos,True,1,True,True,Action,True,Konami,True,69,0.06,17.95,Nintendo DS,1143
Mega Man Battle Network 5: Double Team DS,True,1,True,True,"Action,Role-Playing (RPG)",True,Capcom,True,68,0.06,17.95,Nintendo DS,1144
Nanostray,True,1,True,True,Action,True,THQ,True,71,0.06,17.95,Nintendo DS,1145
Sega Casino,True,1,True,True,Simulation,True,Sega,True,61,0.06,17.95,Nintendo DS,1146
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,True,1,True,True,"Action,Adventure",True,Konami,True,58,0.06,17.95,Nintendo DS,1147
Pac-Man World 3,True,1,True,True,Action,True,"EA,Namco",True,61,0.06,24.95,Sony PSP,1148
Tokobot,True,1,True,True,Strategy,True,,True,72,0.06,17.95,Sony PSP,1149
